pdb_id,reason
1EXD,exception:PermissionError
1EXY,exception:PermissionError
1HAO,exception:PermissionError
1HAP,exception:PermissionError
1HUT,exception:PermissionError
1OOA,exception:PermissionError
1U1Y,exception:PermissionError
1ULL,exception:PermissionError
2B63,exception:PermissionError
2RSK,exception:PermissionError
2RU7,exception:PermissionError
3AGV,exception:PermissionError
3AHU,no_suitable_aptamer_chain
3DD2,exception:PermissionError
3EGZ,exception:PermissionError
3HSB,no_suitable_aptamer_chain
3HXO,exception:PermissionError
3HXQ,exception:PermissionError
3QLP,exception:PermissionError
3UCU,exception:PermissionError
3UCZ,exception:PermissionError
3UD3,exception:PermissionError
3UD4,exception:PermissionError
3UZS,exception:PermissionError
3UZT,no_suitable_aptamer_chain
3V7E,exception:PermissionError
3ZH2,exception:PermissionError
484D,exception:PermissionError
4BCU,no_nucleic_detected
4DIH,exception:PermissionError
4DII,exception:PermissionError
4HQU,exception:PermissionError
4HQX,exception:PermissionError
4I7Y,exception:PermissionError
4KZD,exception:PermissionError
4KZE,exception:PermissionError
4LZ1,exception:PermissionError
4LZ4,exception:PermissionError
4M4O,exception:PermissionError
4M6D,exception:PermissionError
4NI7,exception:PermissionError
4NI9,exception:PermissionError
4PDB,exception:PermissionError
4Q9Q,exception:PermissionError
4Q9R,exception:PermissionError
4R8I,exception:PermissionError
4WB2,exception:PermissionError
4WB3,exception:PermissionError
4ZBN,exception:PermissionError
5CMX,exception:PermissionError
5D3G,exception:PermissionError
5DO4,exception:PermissionError
5EW1,exception:PermissionError
5EW2,exception:PermissionError
5HLF,exception:PermissionError
5HP1,exception:PermissionError
5HRO,exception:PermissionError
5HRT,exception:PermissionError
5HRU,exception:PermissionError
5HS4,no_nucleic_detected
5HTO,exception:PermissionError
5I3U,exception:PermissionError
5I42,exception:PermissionError
5MSF,exception:PermissionError
5UC6,exception:PermissionError
5VOE,exception:PermissionError
5VOF,exception:PermissionError
5XN0,exception:PermissionError
5XN1,exception:PermissionError
5XN2,exception:PermissionError
6B14,exception:PermissionError
6B3K,exception:PermissionError
6BHJ,exception:PermissionError
6CF2,exception:PermissionError
6DB8,exception:PermissionError
6DB9,exception:PermissionError
6DJA,no_nucleic_detected
6EO6,exception:PermissionError
6EO7,exception:PermissionError
6EVV,exception:PermissionError
6GN7,exception:PermissionError
6MSF,exception:PermissionError
6RTI,exception:PermissionError
6SY4,exception:PermissionError
6SY6,exception:PermissionError
6TXR,exception:PermissionError
6U81,exception:PermissionError
6U82,exception:PermissionError
6VUG,exception:PermissionError
6Z8V,exception:PermissionError
6Z8W,exception:PermissionError
6Z8X,exception:PermissionError
7EZW,no_nucleic_detected
7F07,no_nucleic_detected
7F49,exception:PermissionError
7JTN,exception:PermissionError
7JTQ,exception:PermissionError
7LRI,exception:PermissionError
7LRM,exception:PermissionError
7LRX,exception:PermissionError
7LRY,exception:PermissionError
7LSK,exception:PermissionError
7MK1,exception:PermissionError
7MSF,exception:PermissionError
7OZW,exception:PermissionError
7P15,exception:PermissionError
7QY4,no_nucleic_detected
7SZU,exception:PermissionError
7U0Y,exception:PermissionError
7V5N,exception:PermissionError
7YQ3,exception:PermissionError
7YQ4,exception:PermissionError
7YQ5,exception:PermissionError
7YQ6,exception:PermissionError
7Z24,exception:PermissionError
7Z29,exception:PermissionError
7Z2D,exception:PermissionError
7Z2E,exception:PermissionError
7Z2G,exception:PermissionError
7Z2H,exception:PermissionError
7ZKL,exception:PermissionError
7ZKM,exception:PermissionError
7ZKN,exception:PermissionError
7ZKO,exception:PermissionError
7ZQS,exception:PermissionError
8BW5,exception:PermissionError
8D29,exception:PermissionError
8DK7,exception:PermissionError
8EPC,no_nucleic_detected
8EPH,no_nucleic_detected
8EPK,exception:PermissionError
8G8Z,exception:PermissionError
8GUY,no_nucleic_detected
8J1Q,exception:PermissionError
8J26,exception:PermissionError
8TFD,exception:PermissionError
8TQS,exception:PermissionError
8ZBF,exception:PermissionError
9GXH,exception:PermissionError
9JF9,exception:PermissionError
9JHS,exception:PermissionError
